iter	RMSE
0	0.3883455844
1	0.3785837923
2	0.3690303744
3	0.3592591627
4	0.3506408713
5	0.3416820124
6	0.3339778096
7	0.3259134895
8	0.3177207608
9	0.3098157557
10	0.3028820699
11	0.2962039073
12	0.2901996934
13	0.2843047246
14	0.2778248904
15	0.2722888225
16	0.2665863171
17	0.2614077234
18	0.2566951371
19	0.2514896309
20	0.246918217
21	0.2422656691
22	0.2382196451
23	0.2344180742
24	0.2304897735
25	0.2266349917
26	0.2231671727
27	0.2199243089
28	0.2164668505
29	0.2134566709
30	0.2103498331
31	0.2075724725
32	0.2046901769
33	0.2019353968
34	0.1992213645
35	0.1967981067
36	0.1943106544
37	0.1919552989
38	0.1896494164
39	0.187384255
40	0.1854630965
41	0.1837587387
42	0.1818346742
43	0.1799888568
44	0.1780117212
45	0.1760766182
46	0.1744102715
47	0.1726427501
48	0.1711308973
49	0.1696041939
50	0.1681327395
51	0.1668287283
52	0.1652944809
53	0.163660651
54	0.1622274438
55	0.1609502551
56	0.1596949688
57	0.1584535459
58	0.1573946212
59	0.1562698142
60	0.1550619409
61	0.1540428321
62	0.1530776173
63	0.152079586
64	0.1511580882
65	0.150164841
66	0.1491462233
67	0.1483189649
68	0.1474140077
69	0.1466098823
70	0.1458195703
71	0.1450634801
72	0.1443087075
73	0.143392967
74	0.1428024164
75	0.1422047039
76	0.1416150105
77	0.1408654957
78	0.1402625039
79	0.1395258302
80	0.1389070897
81	0.1382871192
82	0.1375804426
83	0.1370027277
84	0.136451422
85	0.135825718
86	0.1351854314
87	0.1346808842
88	0.1341839056
89	0.1335618317
90	0.1329411599
91	0.132707765
92	0.1320421877
93	0.1315373476
94	0.1308850294
95	0.1304997443
96	0.1300744135
97	0.12959273
98	0.1290751352
99	0.1286812438
100	0.1282199313
101	0.1276822855
102	0.1272756765
103	0.1268457758
104	0.1264800591
105	0.126092808
106	0.1256789642
107	0.1252683364
108	0.1247928006
109	0.1243824581
110	0.1239971618
111	0.1235740884
112	0.123258935
113	0.1229664674
114	0.1225940055
115	0.1223169622
116	0.1220119992
117	0.1216597098
118	0.1212445683
119	0.1208933593
120	0.120641031
121	0.1203027413
122	0.1199900785
123	0.1197647858
124	0.1193820143
125	0.1190493234
126	0.1187061596
127	0.1185396436
128	0.118256808
129	0.1179043897
130	0.1175807093
131	0.1173217456
132	0.1170365288
133	0.1167193105
134	0.1164639916
135	0.1162646692
136	0.1160007194
137	0.115739402
138	0.1154275628
139	0.1152274408
140	0.1149980572
141	0.1147652271
142	0.1145633662
143	0.1142501519
144	0.1139389308
145	0.1136564445
146	0.1134952963
147	0.1133309845
148	0.1131511069
149	0.1129685444
150	0.1126617647
151	0.1124294266
152	0.1122095134
153	0.1119457118
154	0.1116989051
155	0.1115703111
156	0.1114065823
157	0.1111154608
158	0.1109842082
159	0.1108337618
160	0.1105972106
161	0.1104136475
162	0.1101649533
163	0.1099585223
164	0.1097805652
165	0.1095776169
166	0.1094973444
167	0.1093772318
168	0.109103397
169	0.10884707
170	0.1085968802
171	0.1083255417
172	0.1080797065
173	0.1078784806
174	0.1076744808
175	0.1075430454
176	0.1072970766
177	0.1071055418
178	0.1068622932
179	0.1066555744
180	0.106503729
181	0.1062900906
182	0.1061247919
183	0.1059810323
184	0.105900522
185	0.1058668954
186	0.1056790693
187	0.1054976146
188	0.1054253833
189	0.1052119411
190	0.1050854353
191	0.1049152325
192	0.1046907495
193	0.1045090045
194	0.1042224214
195	0.1040566651
196	0.1038571641
197	0.1036570533
198	0.1034431122
199	0.1033181905
200	0.1030980038
201	0.1028986252
202	0.1027162879
203	0.102525874
204	0.10239439
205	0.1023115747
206	0.1021048919
207	0.1019939582
208	0.1019158494
209	0.1017356471
210	0.1015593627
211	0.1013729143
212	0.1011691451
213	0.1009865899
214	0.1008435048
215	0.1007205297
216	0.1005208763
217	0.1003714104
218	0.1002450147
219	0.1000656278
220	0.09999043217
221	0.09978266644
222	0.0995717535
223	0.09952630796
224	0.09942651894
225	0.09924507721
226	0.0990891857
227	0.09892105917
228	0.09869195538
229	0.09865738186
230	0.09850097219
231	0.09838472391
232	0.09828747634
233	0.09809423671
234	0.09803175931
235	0.09794769814
236	0.09772876938
237	0.09761574483
238	0.09755652791
239	0.09742940342
240	0.09730399367
241	0.09723481954
242	0.09719596973
243	0.09701128036
244	0.09687223703
245	0.09666949107
246	0.09650115338
247	0.09634587133
248	0.09618614472
249	0.09598089873
250	0.09583229229
251	0.09576316026
252	0.09564433183
253	0.09548468269
254	0.09531977434
255	0.09518391994
256	0.09502934584
257	0.09498260376
258	0.094927439
259	0.09474024916
260	0.09455075081
261	0.09451654109
262	0.09432605951
263	0.09420129446
264	0.09417205972
265	0.09402741216
266	0.09391563171
267	0.09377557627
268	0.09366359199
269	0.09343717867
270	0.09332161026
271	0.093168437
272	0.09300966283
273	0.09285462714
274	0.09273241132
275	0.09262261179
276	0.09249252639
277	0.09228466496
278	0.09215269086
279	0.09205207398
280	0.09184729493
281	0.09170837921
282	0.09154133275
283	0.09138460457
284	0.09123131373
285	0.09111565522
286	0.09108255475
287	0.09095821085
288	0.09092486972
289	0.09080459063
290	0.09077241677
