iter	Passed	Remaining
0	60	60156
1	66	33219
2	72	23947
3	77	19273
4	82	16490
5	88	14615
6	93	13303
7	99	12292
8	104	11520
9	109	10877
10	115	10364
11	120	9940
12	126	9569
13	131	9255
14	136	8989
15	142	8753
16	147	8550
17	153	8363
18	158	8199
19	164	8043
20	168	7876
21	172	7684
22	176	7512
23	180	7340
24	184	7199
25	188	7058
26	192	6937
27	200	6963
28	204	6859
29	210	6793
30	214	6706
31	218	6604
32	222	6513
33	226	6422
34	229	6338
35	233	6255
36	237	6187
37	241	6111
38	245	6049
39	249	5983
40	253	5919
41	256	5860
42	260	5804
43	264	5748
44	268	5704
45	272	5652
46	276	5600
47	279	5552
48	283	5506
49	287	5460
50	291	5418
51	294	5378
52	298	5338
53	304	5332
54	308	5298
55	312	5262
56	315	5224
57	319	5188
58	323	5154
59	326	5122
60	330	5091
61	334	5060
62	338	5030
63	341	5000
64	345	4972
65	349	4944
66	353	4919
67	357	4893
68	360	4869
69	365	4851
70	368	4827
71	372	4806
72	376	4782
73	380	4762
74	384	4739
75	388	4723
76	392	4700
77	396	4688
78	404	4711
79	409	4704
80	413	4694
81	417	4674
82	422	4665
83	425	4644
84	430	4632
85	434	4615
86	438	4602
87	442	4587
88	446	4571
89	450	4558
90	455	4548
91	456	4508
92	461	4497
93	465	4484
94	469	4471
95	473	4457
96	477	4444
97	481	4431
98	485	4421
99	490	4412
100	493	4396
101	498	4388
102	502	4372
103	506	4363
104	510	4348
105	514	4343
106	518	4329
107	523	4321
108	526	4307
109	531	4299
110	535	4286
111	539	4277
112	544	4272
113	549	4269
114	553	4263
115	557	4249
116	562	4242
117	566	4230
118	570	4223
119	574	4213
120	578	4199
121	582	4188
122	585	4176
123	589	4166
124	593	4154
125	602	4178
126	606	4168
127	610	4156
128	615	4152
129	619	4146
130	623	4134
131	626	4122
132	630	4112
133	634	4101
134	638	4089
135	641	4077
136	645	4066
137	649	4056
138	653	4045
139	656	4034
140	660	4024
141	664	4014
142	668	4003
143	671	3992
144	675	3981
145	678	3971
146	682	3961
147	686	3951
148	690	3941
149	693	3931
150	697	3922
151	701	3911
152	704	3902
153	708	3892
154	712	3883
155	716	3875
156	720	3866
157	724	3858
158	727	3849
159	731	3841
160	735	3832
161	739	3823
162	742	3815
163	747	3807
164	750	3798
165	755	3794
166	764	3811
167	773	3829
168	782	3849
169	808	3947
170	826	4005
171	845	4069
172	861	4119
173	869	4128
174	877	4136
175	888	4158
176	893	4155
177	898	4148
178	907	4161
179	911	4152
180	918	4157
181	924	4155
182	928	4144
183	937	4155
184	942	4150
185	946	4142
186	954	4151
187	958	4141
188	965	4144
189	971	4143
190	975	4133
191	985	4145
192	989	4136
193	994	4133
194	1003	4141
195	1012	4153
196	1020	4158
197	1025	4152
198	1037	4175
199	1042	4168
200	1051	4178
201	1054	4167
202	1059	4158
203	1067	4167
204	1071	4156
205	1074	4141
206	1083	4150
207	1087	4139
208	1089	4122
209	1099	4136
210	1103	4127
211	1109	4124
212	1116	4126
213	1120	4116
214	1129	4124
215	1134	4116
216	1138	4106
217	1146	4113
218	1151	4105
219	1156	4099
220	1163	4102
221	1167	4092
222	1176	4097
223	1178	4083
224	1182	4073
225	1193	4086
226	1197	4078
227	1206	4085
228	1215	4090
229	1225	4103
230	1230	4097
231	1237	4097
232	1243	4094
233	1247	4084
234	1257	4092
235	1261	4083
236	1274	4102
237	1278	4092
238	1283	4086
239	1290	4087
240	1294	4077
241	1304	4084
242	1308	4075
243	1312	4067
244	1322	4075
245	1326	4065
246	1330	4055
247	1334	4046
248	1338	4036
249	1342	4026
250	1346	4017
251	1356	4025
252	1365	4032
253	1374	4038
254	1387	4053
255	1404	4081
256	1433	4143
257	1451	4175
258	1465	4193
259	1476	4200
260	1484	4203
261	1492	4205
262	1498	4198
263	1504	4195
264	1513	4198
265	1519	4192
266	1525	4187
267	1530	4179
268	1538	4181
269	1543	4172
270	1547	4163
271	1555	4164
272	1560	4155
273	1566	4151
274	1572	4144
275	1577	4137
276	1583	4133
277	1588	4125
278	1593	4117
279	1599	4113
280	1605	4107
281	1613	4107
282	1626	4120
283	1634	4119
284	1640	4116
285	1645	4109
286	1653	4107
287	1658	4099
288	1665	4097
289	1670	4088
290	1674	4080
291	1683	4081
292	1687	4072
293	1692	4063
294	1700	4064
295	1705	4056
296	1712	4053
297	1717	4045
298	1722	4037
299	1728	4033
300	1734	4027
301	1739	4019
302	1745	4016
303	1754	4017
304	1762	4015
305	1768	4011
306	1773	4002
307	1777	3992
308	1780	3982
309	1784	3972
310	1788	3962
311	1792	3952
312	1801	3954
313	1813	3962
314	1826	3972
315	1839	3980
316	1855	3998
317	1871	4014
318	1883	4020
319	1894	4024
320	1906	4032
321	1915	4032
322	1919	4022
323	1925	4017
324	1932	4012
325	1936	4002
326	1943	3999
327	1949	3994
328	1953	3984
329	1962	3984
330	1966	3974
331	1971	3965
332	1979	3964
333	1983	3955
334	1989	3950
335	1994	3942
