,index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg__estimator,param_reg__estimator__max_depth,param_reg__estimator__n_estimators,param_reg__estimator__learning_rate,param_reg__estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model
0,0,3.1049429416656493,0.04836372712759957,0.04041757583618164,0.004437660216857223,RandomForestRegressor(),10,50,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 10, 'reg__estimator__n_estimators': 50}",-0.15869156210484092,-0.1687531019668673,-0.13553219197752084,-0.1605693501190518,-0.11557356045523809,0.1478239533247038,0.01954356446598342,146,RandomForestRegressor()
1,1,5.794942998886109,0.13670215176134992,0.06276922225952149,0.010472517724474297,RandomForestRegressor(),10,100,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 10, 'reg__estimator__n_estimators': 100}",-0.15949719514555935,-0.1689442380074588,-0.1375305549138611,-0.16156997542573823,-0.11576773562627492,0.14866193982377848,0.019500400818450683,153,RandomForestRegressor()
2,2,9.048555994033814,0.24870993109483416,0.07341561317443848,0.012292801566637887,RandomForestRegressor(),10,150,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 10, 'reg__estimator__n_estimators': 150}",-0.1576540787932806,-0.17297685890480052,-0.13571802895607604,-0.16115214004515632,-0.11338718924218019,0.14817765918829873,0.02116014732089116,148,RandomForestRegressor()
3,3,12.011009311676025,0.20590007656580334,0.07411270141601563,0.013272345043151973,RandomForestRegressor(),10,200,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 10, 'reg__estimator__n_estimators': 200}",-0.1591297206120022,-0.17193810888317426,-0.1347469073921087,-0.16320768538715572,-0.11310086727210182,0.14842465790930853,0.021544696283641352,152,RandomForestRegressor()
4,4,13.529882955551148,0.2534830088009338,0.08060927391052246,0.007282357792809823,RandomForestRegressor(),10,250,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 10, 'reg__estimator__n_estimators': 250}",-0.15637866459816527,-0.17253429737396656,-0.13582465205284264,-0.16478894307152678,-0.1138070502795349,0.14866672147520724,0.021303411455139424,154,RandomForestRegressor()
5,5,15.56228952407837,0.19278998382052429,0.08199882507324219,0.004808795482837013,RandomForestRegressor(),10,300,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 10, 'reg__estimator__n_estimators': 300}",-0.1557125881109123,-0.17195844467641228,-0.13533489137886762,-0.1626655172510011,-0.11290556995519986,0.14771540227447863,0.021166896324914038,145,RandomForestRegressor()
6,6,18.846231985092164,0.3079678428257499,0.1000253677368164,0.021995844645957996,RandomForestRegressor(),10,350,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 10, 'reg__estimator__n_estimators': 350}",-0.15697558780797558,-0.1722127989437388,-0.13430654815981014,-0.1631894163596464,-0.11444762714985562,0.1482263956842053,0.02102643693392137,149,RandomForestRegressor()
7,7,3.885763072967529,0.09224460302400037,0.035275506973266604,0.0039565302381606915,RandomForestRegressor(),20,50,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 20, 'reg__estimator__n_estimators': 50}",-0.15785443879562847,-0.17256661430097162,-0.13611767799074864,-0.16540184476961337,-0.11304781624519396,0.1489976784204312,0.021731638769239225,155,RandomForestRegressor()
8,8,7.757628917694092,0.12642128226283714,0.049119997024536136,0.004086680381355114,RandomForestRegressor(),20,100,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 20, 'reg__estimator__n_estimators': 100}",-0.15786187393889292,-0.17206210367858768,-0.13623142309296962,-0.16095973361624427,-0.11431166428306604,0.14828535972195211,0.020577620374419896,151,RandomForestRegressor()
9,9,11.421784734725952,0.17723189719390003,0.056698846817016604,0.0027376921168566788,RandomForestRegressor(),20,150,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 20, 'reg__estimator__n_estimators': 150}",-0.15697394788534094,-0.17026110469380953,-0.1358647124148618,-0.1628010655055187,-0.11243349712525348,0.14766686552495692,0.021008791024508144,144,RandomForestRegressor()
10,10,15.1856369972229,0.11932522471696914,0.07161297798156738,0.007930337493827754,RandomForestRegressor(),20,200,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 20, 'reg__estimator__n_estimators': 200}",-0.155085329362949,-0.17149332354806113,-0.133623593449254,-0.16241527303980657,-0.11264465062615735,0.14705243400524562,0.021270310897653844,133,RandomForestRegressor()
11,11,18.691286420822145,0.08103892132503494,0.07404055595397949,0.0052610027738205795,RandomForestRegressor(),20,250,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 20, 'reg__estimator__n_estimators': 250}",-0.1580869989149344,-0.16968396601146943,-0.13414101044165067,-0.16139821026990053,-0.11286522101986317,0.14723508133156366,0.020856906531160395,138,RandomForestRegressor()
12,12,22.263636922836305,0.1616910411068405,0.08345494270324708,0.0023424866124243573,RandomForestRegressor(),20,300,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 20, 'reg__estimator__n_estimators': 300}",-0.1560806311929482,-0.1711259979876022,-0.13392327527787615,-0.16271716203885994,-0.11303025637697611,0.14737546457485254,0.02114611154493062,140,RandomForestRegressor()
13,13,26.008194255828858,0.16045106023424902,0.09929356575012208,0.00738615598192656,RandomForestRegressor(),20,350,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 20, 'reg__estimator__n_estimators': 350}",-0.15613536889151802,-0.1705160501612703,-0.13486352457170925,-0.1615298802503324,-0.11210663387823303,0.1470302915506126,0.0210352725073838,129,RandomForestRegressor()
14,14,3.8499825954437257,0.1173564316185703,0.038472652435302734,0.005799139896601405,RandomForestRegressor(),30,50,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 30, 'reg__estimator__n_estimators': 50}",-0.16158234173390768,-0.1726239967919985,-0.14441907461438394,-0.16719644786719468,-0.11368434420055083,0.15190124104160713,0.021324228881471636,163,RandomForestRegressor()
15,15,7.591276168823242,0.10537189998835853,0.04473357200622559,0.0017745935535045593,RandomForestRegressor(),30,100,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 30, 'reg__estimator__n_estimators': 100}",-0.15688934697561274,-0.17015482781027752,-0.13671542243439885,-0.1611472649978462,-0.11220543153957818,0.1474224587515427,0.020734669105211292,141,RandomForestRegressor()
16,16,10.83888258934021,0.09259883762042352,0.05515656471252441,0.002680047480744922,RandomForestRegressor(),30,150,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 30, 'reg__estimator__n_estimators': 150}",-0.15691640522041458,-0.17055692166692735,-0.13483275535359915,-0.16201974624938853,-0.1100205064330528,0.14686926698467648,0.02188285063450381,128,RandomForestRegressor()
17,17,14.30254316329956,0.11552524204614793,0.059896421432495114,0.0005155791139316067,RandomForestRegressor(),30,200,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 30, 'reg__estimator__n_estimators': 200}",-0.15789660440674858,-0.17005456107985908,-0.13631014127794044,-0.16241496990719678,-0.11301675827850165,0.1479386069900493,0.02074897083429653,147,RandomForestRegressor()
18,18,18.009287929534914,0.058159088076770546,0.07154726982116699,0.0038144731813418127,RandomForestRegressor(),30,250,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 30, 'reg__estimator__n_estimators': 250}",-0.15619201601469787,-0.17102579099273543,-0.13420865021297235,-0.163093420470224,-0.11203278158568086,0.1473105318552621,0.02147823464121585,139,RandomForestRegressor()
19,19,21.941602611541747,0.13184748291332507,0.08094134330749511,0.0026169909423065054,RandomForestRegressor(),30,300,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 30, 'reg__estimator__n_estimators': 300}",-0.15616464095843904,-0.1699548863317716,-0.134769281315196,-0.16123922172040062,-0.1130893559017634,0.14704347724551411,0.02055814046529538,132,RandomForestRegressor()
20,20,26.106734657287596,0.1835175581259159,0.09250750541687011,0.005157761330623112,RandomForestRegressor(),30,350,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 30, 'reg__estimator__n_estimators': 350}",-0.15719425374735194,-0.17027005748859117,-0.1346078924829384,-0.16212888866980416,-0.11167662832102464,0.14717554414194206,0.021332850227420003,136,RandomForestRegressor()
21,21,3.785869836807251,0.10436363177266766,0.03522357940673828,0.0012436495552288678,RandomForestRegressor(),40,50,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 40, 'reg__estimator__n_estimators': 50}",-0.1614320162390403,-0.17308082330760546,-0.13361389774412025,-0.16611963765928564,-0.11389426753807688,0.1496281284976257,0.022336942224906123,158,RandomForestRegressor()
22,22,8.771504354476928,1.525983956212701,0.06459259986877441,0.037398829749048665,RandomForestRegressor(),40,100,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 40, 'reg__estimator__n_estimators': 100}",-0.1564604937611482,-0.17283136231543245,-0.13353979627156132,-0.16096791792313955,-0.11139988227549354,0.147039890509355,0.02191073007697161,131,RandomForestRegressor()
23,23,12.25847249031067,1.4713411514271146,0.05221700668334961,0.0017421538611662622,RandomForestRegressor(),40,150,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 40, 'reg__estimator__n_estimators': 150}",-0.15684150874724,-0.16922252660332274,-0.13543147056319818,-0.16227886412440343,-0.11186337352680119,0.1471275487129931,0.02094025654984048,135,RandomForestRegressor()
24,24,14.792438125610351,0.3166638426256509,0.06955347061157227,0.004717253665505207,RandomForestRegressor(),40,200,,,"{'reg__estimator': RandomForestRegressor(), 'reg__estimator__max_depth': 40, 'reg__estimator__n_estimators': 200}",-0.15739128521482637,-0.16832233871879335,-0.13345747162114316,-0.16277640366608687,-0.11212945750738149,0.14681539134564625,0.021027126557546977,126,RandomForestRegressor()
